Title,Produced by,Cinematography,Country,Running Time (int),Release Date (datetime),Directed by,Distributed by,Language,Written by,Starring,Edited by,Music by,Production companies,Based on,Story by,Budget (float),Box Office (float)
The 33,"['Robert Katz', 'Edward McGurn', 'Mike Medavoy']",Checco Varese,,127,2015-08-06,Patricia Riggen,"['Alcon Entertainment and Warner Bros. Pictures (North America and select international territories)', 'Fox International Productions 20th Century Fox (Latin America)', 'Good Universe (International)']",,"['Mikko Alanne', 'Craig Borten', 'Michael Thomas']","['Antonio Banderas', 'Rodrigo Santoro', 'Juliette Binoche', 'James Brolin', 'Bob Gunton', 'Gabriel Byrne', 'Lou Diamond Phillips', 'Jacob Vargas']",Michael Tronick,James Horner,Phoenix Pictures,Héctor Tobar,José Rivera,26000000.0,28000000.0
My All American,['Paul Schiff'],Frank G. DeMarco,United States,118,2015-11-13,Angelo Pizzo,Clarius Entertainment,English,['Angelo Pizzo'],"['Aaron Eckhart', 'Finn Wittrock', 'Robin Tunney', 'Sarah Bolger']",Dan Zimmerman,John Paesano,"['Anthem Productions', 'Paul Schiff Productions']",Jim Dent,,20000000.0,2200000.0
Love the Coopers,"['Michael London', 'Jessie Nelson', 'Janice Williams']",Elliot Davis,United States,107,2015-11-04,Jessie Nelson,['Lionsgate'],English,Steven Rogers,"['Alan Arkin', 'John Goodman', 'Ed Helms', 'Diane Keaton', 'Anthony Mackie', 'Amanda Seyfried', 'June Squibb', 'Marisa Tomei', 'Olivia Wilde']",Nancy Richardson,Nick Urata,"['Groundswell Productions', 'Imagine Entertainment', 'CBS Films']",,,17000000.0,42400000.0
By the Sea,"['Angelina Jolie Pitt', 'Brad Pitt']",Christian Berger,United States,122,2015-11-05,Angelina Jolie Pitt,Universal Pictures,,Angelina Jolie Pitt,"['Brad Pitt', 'Angelina Jolie Pitt', 'Mélanie Laurent', 'Niels Arestrup', 'Melvil Poupaud', 'Richard Bohringer']","['Martin Pensa', 'Patricia Rommel']",Gabriel Yared,"['Jolie Pas', 'Plan B Entertainment']",,,10000000.0,3300000.0
Carol,"['Elizabeth Karlsen', 'Stephen Woolley', 'Christine Vachon']",Edward Lachman,,119,2015-05-17,Todd Haynes,"['StudioCanal (United Kingdom)', 'The Weinstein Company (United States)']",English,Phyllis Nagy,"['Cate Blanchett', 'Rooney Mara', 'Sarah Paulson', 'Jake Lacy', 'Kyle Chandler']",Affonso Gonçalves,Carter Burwell,"['Number 9 Films', 'Film4', 'Killer Films']","['The Price of Salt', 'Patricia Highsmith']",,11800000.0,42500000.0
Legend,"['Tim Bevan', 'Eric Fellner', 'Chris Clark', 'Quentin Curtis', 'Brian Oliver']",Dick Pope,,131,2015-09-09,Brian Helgeland,"['StudioCanal (International)', 'Universal Pictures (North America)']",English,Brian Helgeland,"['Tom Hardy', 'Emily Browning', 'David Thewlis', 'Duffy', 'Christopher Eccleston', 'Chazz Palminteri']",Peter McNulty,Carter Burwell,"['Cross Creek Pictures', 'StudioCanal', 'Working Title Films', 'Anton Capital Entertainment']",John Pearson,,25000000.0,43000000.0
The Night Before,"['Evan Goldberg', 'Seth Rogen', 'James Weaver']",Brandon Trost,United States,101,2015-11-16,Jonathan Levine,Sony Pictures Releasing,English,"['Jonathan Levine', 'Kyle Hunter', 'Ariel Shaffir', 'Evan Goldberg']","['Joseph Gordon-Levitt', 'Seth Rogen', 'Anthony Mackie', 'Lizzy Caplan', 'Jillian Bell', 'Mindy Kaling', 'Michael Shannon']",Zene Baker,"['Marco Beltrami', 'Miles Hankins']","['Columbia Pictures', 'LStar Capital', 'Good Universe', 'Point Grey Pictures']",,Jonathan Levine,25000000.0,52400000.0
Creed,"['Irwin Winkler', 'Robert Chartoff', 'Charles Winkler', 'William Chartoff', 'David Winkler', 'Kevin King-Templeton', 'Sylvester Stallone']",Maryse Alberti,United States,133,2015-11-19,Ryan Coogler,Warner Bros. Pictures,English,"['Ryan Coogler', 'Aaron Covington']","['Michael B. Jordan', 'Sylvester Stallone', 'Tessa Thompson', 'Phylicia Rashad', 'Anthony Bellew']","['Michael P. Shawver', 'Claudia Castello']",Ludwig Göransson,"['', 'New Line Cinema', 'Chartoff-Winkler Productions']","['Characters', 'Sylvester Stallone']",Ryan Coogler,35000000.0,173600000.0
The Good Dinosaur,Denise Ream,"['Mahyar Abousaeedi (camera)', 'Sharon Calahan (lighting)']",United States,94,2015-11-10,Peter Sohn,Walt Disney Studios Motion Pictures,English,Meg LeFauve,"['Raymond Ochoa', 'Jack Bright', 'Sam Elliott', 'Anna Paquin', 'A. J. Buckley', 'Steve Zahn', 'Jeffrey Wright', 'Frances McDormand']",Stephen Schaffer,"['Mychael Danna', 'Jeff Danna']","['Walt Disney Pictures', 'Pixar Animation Studios']",An original concept by Bob Peterson,"['Peter Sohn', 'Erik Benson', 'Meg LeFauve', 'Kelsey Mann', 'Bob Peterson']",175000000.0,332200000.0
Victor Frankenstein,John Davis,Fabian Wagner,United States,110,2015-11-11,Paul McGuigan,20th Century Fox,English,Max Landis,"['Daniel Radcliffe', 'James McAvoy', 'Jessica Brown Findlay', 'Andrew Scott', 'Charles Dance']",Andrew Hulme Charlie Phillips,Craig Armstrong,"['Davis Entertainment Company', 'TSG Entertainment', 'Moving Picture Company']","['Frankenstein', 'Mary Shelley']",,40000000.0,34200000.0
