Title,Produced by,Cinematography,Country,Running Time (int),Release Date (datetime),Directed by,Distributed by,Language,Written by,Starring,Edited by,Music by,Production companies,Based on,Story by,Budget (float),Box Office (float)
Legend of the Guardians: The Owls of Ga'Hoole,Zareh Nalbandian,,,97,2010-09-19,Zack Snyder,"['Warner Bros. Pictures', 'Roadshow Entertainment']",English,"['John Orloff', 'Emil Stern']","['Helen Mirren', 'Geoffrey Rush', 'Jim Sturgess', 'Hugo Weaving', 'Emily Barclay', 'Abbie Cornish', 'Ryan Kwanten', 'Anthony LaPaglia', 'Miriam Margolyes', 'Sam Neill', 'Richard Roxburgh', 'David Wenham']",David Burrows,David Hirschfelder,"['Village Roadshow Pictures', 'Animal Logic', 'GOG Productions']","[""Guardians of Ga'Hoole"", 'Kathryn Lasky']",,80000000.0,140100000.0
The Virginity Hit,"['Will Ferrell', 'Adam McKay', 'Chris Henchy', 'Peter Principato', 'Paul Young']",Luke Geissbuhler,United States,86,2010-09-10,Huck Botko Andrew Gurland,Sony Pictures Releasing,English,Andrew Gurland Huck Botko,"['Matt Bennett', 'Zack Pearlman']",Geoffrey Richman,,"['Columbia Pictures', 'Gary Sanchez Productions']",,,2000000.0,636706.0
Wall Street: Money Never Sleeps,"['Edward R. Pressman', 'Eric Kopeloff']",Rodrigo Prieto,United States,133,2010-05-14,Oliver Stone,20th Century Fox,English,"['Allan Loeb', 'Stephen Schiff']","['Michael Douglas', 'Shia LaBeouf', 'Josh Brolin', 'Carey Mulligan', 'Eli Wallach', 'Susan Sarandon', 'Frank Langella']","['Julie Monroe', 'David Brenner']",Craig Armstrong,"['Edward R. Pressman Productions', 'Ixtlan Production', 'Dune Entertainment']",Stanley Weiser,,70000000.0,134700000.0
You Again,"['Andy Fickman', 'John J. Strauss', 'Eric Tannenbaum']",David Hennings,United States,105,2010-09-24,Andy Fickman,Walt Disney Studios Motion Pictures,English,Moe Jelline,"['Kristen Bell', 'Jamie Lee Curtis', 'Sigourney Weaver', 'Odette Yustman', 'Kristin Chenoweth', 'Victor Garber', 'Betty White']",David Rennie,['Nathan Wang'],"['Touchstone Pictures', 'Frontier Pictures']",,,20000000.0,32100000.0
Like Dandelion Dust,"['Kevin Downes', 'Bobby Downes', 'Kerry David', 'Bill Herren']",Reynaldo Villalobos,United States,100,2009-02-25,Jon Gunn,20th Century Fox,English,"['Stephen J. Rivele', 'Michael Lachance']","['Mira Sorvino', 'Barry Pepper', 'Cole Hauser', 'Kate Levering', 'Maxwell Perry Cotton', 'L. Scott Caldwell']",Jon Gunn,Nathan Larson,"['Downes Brothers Entertainment', 'Lucky Crow Films']",,,,352810.0
Norwegian Wood,"['Chihiro Kameyama', 'Shinji Ogawa']",Mark Lee Ping Bin,Japan,133,2010-09-02,Tran Anh Hung,Toho,Japanese,Tran Anh Hung,"['Kenichi Matsuyama', 'Rinko Kikuchi', 'Kiko Mizuhara']",Mario Battistel,Jonny Greenwood,,"['Norwegian Wood', 'Haruki Murakami']",,,17600000.0
Case 39,"['Steve Golin', 'Kevin Misher']",Hagen Bodanski,,109,2009-08-13,Christian Alvart,Paramount Pictures,English,Ray Wright,"['Renée Zellweger', 'Jodelle Ferland', 'Ian McShane', 'Bradley Cooper']",Mark Goldblatt,Michl Britsch,"['Paramount Vantage', 'Misher Films', 'Anonymous Content']",,,26000000.0,28200000.0
Hatchet II,"['Derek Curl', 'Sarah Elbert', 'Cory Neal']",Will Barratt,United States,85,2010-08-26,Adam Green,Dark Sky Films,English,Adam Green,"['Danielle Harris', 'Tony Todd', 'Parry Shen', 'Tom Holland', 'R. A. Mihailoff', 'Kane Hodder']",Ed Marx,Andy Garfield,"['Dark Sky Films', 'ArieScope Pictures']",,,,156190.0
Let Me In,"['Alex Brunner', 'Simon Oakes', 'Guy East', 'Tobin Armbrust', 'Donna Gigliotti', 'John Nordling', 'Carl Molinder']",Greig Fraser,,116,2010-09-13,Matt Reeves,"['Overture Films (United States)', 'Icon Film Distribution (United Kingdom)']",English,Matt Reeves,"['Kodi Smit-McPhee', 'Chloë Grace Moretz', 'Elias Koteas', 'Richard Jenkins']",Stan Salfas,Michael Giacchino,"['Exclusive Media Group', 'Hammer Films', 'EFTI']","['Let the Right One In (novel) by John Ajvide Lindqvist', 'Let the Right One In (film) by John Ajvide Lindqvist']",,20000000.0,27000000.0
The Social Network,"['Scott Rudin', 'Dana Brunetti', 'Michael De Luca', 'Ceán Chaffin']",Jeff Cronenweth,United States,120,2010-09-24,David Fincher,Sony Pictures Releasing,English,Aaron Sorkin,"['Jesse Eisenberg', 'Andrew Garfield', 'Justin Timberlake', 'Armie Hammer', 'Max Minghella']","['Angus Wall', 'Kirk Baxter']","['Trent Reznor', 'Atticus Ross']","['Columbia Pictures', 'Relativity Media', 'Scott Rudin Productions', 'Michael De Luca Productions', 'Trigger Street Productions']","['The Accidental Billionaires', 'Ben Mezrich']",,40000000.0,224900000.0
It's Kind of a Funny Story,Kevin Misher,Andrij Parekh,United States,101,2010-09-26,Anna Boden Ryan Fleck,Focus Features,English,Anna Boden Ryan Fleck,"['Keir Gilchrist', 'Emma Roberts', 'Viola Davis', 'Lauren Graham', 'Jim Gaffigan', 'Zoë Kravitz', 'Zach Galifianakis']",Anna Boden,Broken Social Scene,Misher Films,"[""It's Kind of a Funny Story"", 'Ned Vizzini']",,8000000.0,6500000.0
Life as We Know It,"['Barry Josephson', 'Paul Brooks']",Andrew Dunn,United States,115,2010-10-08,Greg Berlanti,Warner Bros. Pictures,English,Ian Deitchman Kristin Rusk Robinson,"['Katherine Heigl', 'Josh Duhamel', 'Josh Lucas']",Jim Page,Blake Neely,"['Village Roadshow Pictures', 'Gold Circle Films', 'Josephson Entertainment']",,,38000000.0,105710000.0
My Soul to Take,"['Wes Craven', 'Anthony Katagas', 'Iya Labunka']",Petra Korner,United States,107,2010-10-08,Wes Craven,Universal Pictures,English,Wes Craven,"['Max Thieriot', 'Denzel Whitaker', 'Raul Esparza', 'Shareeka Epps']",Peter McNulty,Marco Beltrami,"['Corvus Corax', 'Relativity Media', 'Rogue Pictures']",,,25000000.0,21500000.0
Secretariat,Mark Ciardi,Dean Semler,United States,123,2010-09-30,Randall Wallace,Walt Disney Studios Motion Pictures,English,"['Mike Rich', 'Sheldon Turner']","['Diane Lane', 'John Malkovich', 'Dylan Walsh', 'James Cromwell', 'Kevin Connolly', 'Scott Glenn']",John Wright,Nick Glennie-Smith,"['Walt Disney Pictures', 'Mayhem Pictures']",,,35000000.0,60300000.0
I Spit on Your Grave,"['Lisa M. Hansen', 'Paul Hertzberg']",Neil Lisk,United States,108,2010-05-01,Steven R. Monroe,Anchor Bay Entertainment,English,Stuart Morse,"['Sarah Butler', 'Jeff Branson', 'Daniel Franzese', 'Rodney Eastman', 'Chad Lindberg', 'Tracey Walter', 'Andrew Howard']",Daniel Duncan,Corey Allen Jackson,CineTel Films,,,2000000.0,572809.0
Inside Job,Audrey Marrs,"['Svetlana Cvetko', 'Kalyanee Mam']",United States,108,2010-05-16,Charles Ferguson,Sony Pictures Classics,English,Charles Ferguson Chad Beck Adam Bolt,,Chad Beck Adam Bolt,Alex Heffes,,,,2000000.0,7900000.0
It's a Wonderful Afterlife,,Dick Pope,United Kingdom,100,2010-01-26,Gurinder Chadha,Icon Film Distribution,English,"['Paul Mayeda Berges', 'Gurinder Chadha']","['Goldy Notay', 'Shabana Azmi', 'Sally Hawkins', 'Sendhil Ramamurthy', 'Zoë Wanamaker']",Oral Nottie Ottey,Sony Music,,,,,
Nowhere Boy,"['Robert Bernstein', 'Douglas Rae']",Seamus McGarvey,United Kingdom,97,2009-10-29,Sam Taylor-Wood,Icon Film Distribution,English,Matt Greenhalgh,"['Aaron Johnson', 'Anne-Marie Duff', 'Kristin Scott Thomas', 'David Threlfall', 'Thomas Brodie-Sangster', 'David Morrissey']",Lisa Gunning,Goldfrapp,"['Icon Entertainment International', 'Ecosse Films', 'Film4 Productions', 'HanWay Films', 'UK Film Council']",Julia Baird,,,
Stone,Jordan Schur,Maryse Alberti,United States,105,2010-09-10,John Curran,"['Overture Films', 'Relativity Media']",English,Angus MacLachlan,"['Robert De Niro', 'Edward Norton', 'Milla Jovovich', 'Frances Conroy']",Alexandre de Franceschi,,Mimran Schur Pictures,,,22000000.0,10300000.0
Tamara Drewe,"['Alison Owen', 'Tracey Seaward', 'Paul Trijbits']",Ben Davis,United Kingdom,111,2010-05-18,Stephen Frears,Momentum Pictures,English,Moira Buffini,"['Gemma Arterton', 'Roger Allam', 'Bill Camp', 'Dominic Cooper', 'Luke Evans', 'Tamsin Greig', 'Jessica Barden']",Mick Audsley,Alexandre Desplat,"['BBC Films', 'UK Film Council']","['Tamara Drewe', 'Posy Simmonds']",,,12000000.0
Wild Target,Martin Pope Michael Rose,David Johnson,,98,2010-04-08,Jonathan Lynn,Entertainment Film Distributors,English,Lucinda Coxon,"['Bill Nighy', 'Emily Blunt', 'Rupert Grint', 'Eileen Atkins', 'Martin Freeman', 'Rupert Everett']",Michael Parker,Michael Price,Magic Light Pictures,,,8000000.0,3500000.0
Jackass 3D,"['Jeff Tremaine', 'Spike Jonze', 'Johnny Knoxville']",Dimitry Elyashkevich,United States,94,2010-10-15,Jeff Tremaine,Paramount Pictures,English,"['Jeff Tremaine', 'Spike Jonze', 'Johnny Knoxville', 'Bam Margera', 'Steve-O', 'Chris Pontius', 'Ryan Dunn', 'Wee Man', 'Preston Lacy', 'Ehren McGhehey', 'Dave England', 'Loomis Fall', 'Barry Owen Smoler', 'The Dudesons', 'Dave Carnie', 'Mike Kassak', 'Madison Clapp', 'Knate Lee', 'Derek Freda', 'Trip Taylor', 'Sean Cliver', 'Dimitry Elyashkevich', 'J.P. Blackmon', 'Rick Kosick']","['Johnny Knoxville', 'Bam Margera', 'Ryan Dunn', 'Steve-O', 'Wee Man', 'Preston Lacy', 'Chris Pontius', 'Danger Ehren', 'Dave England']","['Seth Casriel', 'Matthew Probst', 'Matthew Kosinski']","['Sam Spiegel', 'Amjad Albasel']","['MTV Films', 'Dickhouse Productions']","['Jeff Tremaine', 'Spike Jonze', 'Johnny Knoxville']",,20000000.0,171700000.0
Red,"['Lorenzo di Bonaventura', 'Mark Vahradian']",Florian Ballhaus,United States,111,2010-09-29,Robert Schwentke,Summit Entertainment,English,"['Jon Hoeber', 'Erich Hoeber']","['Bruce Willis', 'Morgan Freeman', 'John Malkovich', 'Mary-Louise Parker', 'Helen Mirren', 'Karl Urban', 'Rebecca Pidgeon', 'Brian Cox', 'Richard Dreyfuss', 'Julian McMahon', 'Ernest Borgnine', 'James Remar']",Thom Noble,Christophe Beck,Di Bonaventura Pictures,"['Warren Ellis', 'Cully Hamner']",,58000000.0,199000000.0
Conviction,"['Andrew Sugerman', 'Andrew S. Karsch']",Adriano Goldman,United States,107,2010-09-11,Tony Goldwyn,Fox Searchlight Pictures,English,"['Pamela Gray', 'Richard LaGravenese']","['Hilary Swank', 'Sam Rockwell', 'Minnie Driver', 'Melissa Leo', 'Peter Gallagher', 'Juliette Lewis']",Jay Cassidy,Paul Cantelon,Omega Entertainment Oceana Media Finance Prescience,,,12500000.0,11100000.0
Hereafter,"['Kathleen Kennedy', 'Robert Lorenz']",Tom Stern,United States,129,2010-09-12,Clint Eastwood,Warner Bros. Pictures,,Peter Morgan,"['Matt Damon', 'Cécile de France']","['Joel Cox', 'Gary D. Roach']",Clint Eastwood,"['The Kennedy/Marshall Company', 'Malpaso Productions', 'Amblin Entertainment']",,,50000000.0,107000000.0
Paranormal Activity 2,"['Jason Blum', 'Oren Peli']",Michael Simmonds,United States,91,2010-10-22,Tod Williams,Paramount Pictures,English,"['Michael R. Perry', 'Christopher Landon', 'Tom Pabst']","['Katie Featherston', 'Micah Sloat']",Gregory Plotkin,,Blumhouse Productions,,Michael R. Perry,3000000.0,177500000.0
Saw 3D,"['Gregg Hoffman', 'Oren Koules', 'Mark Burg']",Brian Gedge,United States,90,2010-10-29,Kevin Greutert,Lionsgate,English,"['Patrick Melton', 'Marcus Dunstan']","['Tobin Bell', 'Costas Mandylor', 'Betsy Russell', 'Sean Patrick Flanery', 'Cary Elwes']",Andrew Coutts,Charlie Clouser,Twisted Pictures,,,17000000.0,136200000.0
Crayon,"['Dean A. Burhanuddin', 'Linda Ziegler', 'Elise A. Hamid']",Eric Oh,Malaysia,85,2010-11-11,Dean A. Burhanuddin,ZiOSS Films,,Dean A. Burhanuddin,"['Kahoe Howard Hon', 'Faisal Abdullah', 'Adibah Noor', 'Joshry Adamme']",,Pacai,ZiOSS Films,,,405760.0,16416.0
Due Date,"['Todd Phillips', 'Dan Goldberg']",Lawrence Sher,United States,95,2010-10-31,Todd Phillips,Warner Bros. Pictures,English,"['Alan R. Cohen', 'Alan Freedland', 'Adam Sztykiel', 'Todd Phillips']","['Robert Downey Jr.', 'Zach Galifianakis', 'Michelle Monaghan', 'Juliette Lewis', 'Jamie Foxx']",Debra Neil-Fisher,Christophe Beck,"['Legendary Pictures', 'Green Hat Films', 'Classic Films, Inc.']",,"['Alan R. Cohen', 'Alan Freedland']",65000000.0,211800000.0
Fair Game,"['Jez Butterworth', 'Akiva Goldsman', 'Doug Liman', 'Bill Pohlad', 'Jerry Zucker', 'Janet Zucker']",Doug Liman,,108,2010-05-20,Doug Liman,"['Summit Entertainment', 'Gulf Film']",English,"['Jez Butterworth', 'John Butterworth']","['Naomi Watts', 'Sean Penn']",Christopher Tellefsen,John Powell,"['Participant Media', 'River Road Entertainment', 'Weed Road Pictures', 'Hypnotic', 'Zucker Productions']","['Fair Game', 'Valerie Plame', 'The Politics of Truth', 'Joseph C. Wilson']",,22000000.0,24200000.0
For Colored Girls,Tyler Perry,Alexander Gruszynski,United States,133,2010-11-05,Tyler Perry,Lionsgate,English,Tyler Perry,"['Janet Jackson', 'Loretta Devine', 'Kimberly Elise', 'Thandiwe Newton', 'Anika Noni Rose', 'Tessa Thompson', 'Kerry Washington', 'Whoopi Goldberg']",Maysie Hoy,Aaron Zigman,"['34th Street Films', 'Tyler Perry Studios']","['For Colored Girls Who Have Considered Suicide / When The Rainbow Is Enuf', 'Ntozake Shange']",,21000000.0,38000000.0
Megamind,"['Lara Breay', 'Denise Nolan Cascino']",,United States,96,2010-10-28,Tom McGrath,"['Paramount Pictures', 'DreamWorks Animation']",English,"['Alan Schoolcraft', 'Brent Simons']","['Will Ferrell', 'Tina Fey', 'Jonah Hill', 'David Cross', 'Brad Pitt']",Michael Andrews,"['Hans Zimmer', 'Lorne Balfe']","['DreamWorks Animation', 'PDI/DreamWorks']",,,130000000.0,321900000.0
Transformers,"['Lorenzo di Bonaventura', 'Tom DeSanto', 'Don Murphy', 'Ian Bryce']",Mitchell Amundsen,United States,143,2007-06-10,Michael Bay,Paramount Pictures,English,"['Roberto Orci', 'Alex Kurtzman']","['Shia LaBeouf', 'Tyrese Gibson', 'Josh Duhamel', 'Anthony Anderson', 'Megan Fox', 'Rachael Taylor', 'John Turturro', 'Jon Voight']","['Paul Rubell', 'Glen Scantlebury', 'Thomas A. Muldoon']",Steve Jablonsky,"['DreamWorks Pictures', 'Hasbro', 'Di Bonaventura Pictures']","['Transformers', 'Hasbro']","['John Rogers', 'Roberto Orci', 'Alex Kurtzman']",150000000.0,709700000.0
Transformers: Revenge of the Fallen,"['Lorenzo di Bonaventura', 'Tom DeSanto', 'Don Murphy', 'Ian Bryce']",Ben Seresin,United States,150,2009-06-08,Michael Bay,Paramount Pictures,English,"['Ehren Kruger', 'Roberto Orci', 'Alex Kurtzman']","['Shia LaBeouf', 'Megan Fox', 'Josh Duhamel', 'Tyrese Gibson', 'John Turturro']","['Roger Barton', 'Paul Rubell', 'Joel Negron', 'Thomas A. Muldoon']",Steve Jablonsky,"['Paramount Pictures', 'Di Bonaventura Pictures', 'DreamWorks Pictures', 'Hasbro']","['Transformers', 'Hasbro']",,200000000.0,836500000.0
127 Hours,"['Danny Boyle', 'Christian Colson', 'John Smithson']","['Anthony Dod Mantle', 'Enrique Chediak']",,94,2010-09-04,Danny Boyle,"['Warner Bros. Pictures (United Kingdom)', 'Fox Searchlight Pictures (United States)']",English,"['Danny Boyle', 'Simon Beaufoy']",James Franco,Jon Harris,A. R. Rahman,"['Pathé', 'Everest Entertainment', 'Film4 Productions', 'HandMade Films', 'Cloud Eight Films']","['Between a Rock and a Hard Place', 'Aron Ralston']",,18000000.0,60700000.0
Four Lions,"['Mark Herbert', 'Derrin Schlesinger']",Lol Crawley,United Kingdom,97,2010-01-23,Chris Morris,Optimum Releasing,,"['Jesse Armstrong', 'Sam Bain']","['Riz Ahmed', 'Kayvan Novak', 'Nigel Lindsay', 'Arsher Ali', 'Adeel Akhtar']",Billy Sneddon,,"['Film4 Productions', 'Wild Bunch', 'Warp Films']",,,,4700000.0
Guy and Madeline on a Park Bench,"['Damien Chazelle', 'Mihai Dinulescu', 'Jasmine McGlade']",Damien Chazelle,United States,84,2009-04-23,Damien Chazelle,Variance Films,,Damien Chazelle,"['Jason Palmer', 'Desiree Garcia', 'Sandha Khin']","['William Adam W. Parker', 'Damien Chazelle']",Justin Hurwitz,"['Varilight Films', 'Olive Productions']",,,60000.0,35556.0
Five Minarets in New York,"['Murat Tokat', 'Mevlut Akkaya']",Jim Gucciardo,United States,117,2010-11-05,Mahsun Kırmızıgül,Boyut Film,English,Mahsun Kırmızıgül,"['Mahsun Kırmızıgül', 'Haluk Bilginer', 'Mustafa Sandal', 'Danny Glover', 'Gina Gershon', 'Robert Patrick']",Mustafa Presheva,"['Tevfik Akbasli', 'Yildiray Gürgen', 'Mahsun Kırmızıgül']",Boyut Film,,,21000000.0,12000000.0
Morning Glory,"['J. J. Abrams', 'Bryan Burk']",Alwin H. Küchler,United States,107,2010-11-10,Roger Michell,Paramount Pictures,English,Aline Brosh McKenna,"['Rachel McAdams', 'Harrison Ford', 'Diane Keaton', 'Patrick Wilson', 'Jeff Goldblum']","['Dan Farrell', 'Nick Moore', 'Steven Weisberg']",David Arnold,Bad Robot Productions,,,40000000.0,60000000.0
Skyline,"['The Brothers Strause', 'Kristian Andresen', ""Liam O'Donnell""]",Michael Watson,United States,94,2010-11-11,The Brothers Strause,"['Universal Pictures', 'IM Global']",English,"['Joshua Cordes', ""Liam O'Donnell""]","['Eric Balfour', 'Scottie Thompson', 'Brittany Daniel', 'David Zayas', 'Donald Faison']",Nicholas Wayman-Harris,Matthew Margeson,"['Rogue', 'Relativity Media', 'Hydraulx Entertainment', 'Transmission', 'Rat Entertainment']",,,10000000.0,68300000.0
Unstoppable,"['Julie Yorn', 'Tony Scott', 'Mimi Rogers', 'Eric McLeod', 'Alex Young']",Ben Seresin,United States,98,2010-10-26,Tony Scott,20th Century Fox,English,Mark Bomback,"['Denzel Washington', 'Chris Pine', 'Rosario Dawson']","['Chris Lebenzon', 'Robert Duffy']",Harry Gregson-Williams,"['Dune Entertainment', 'Scott Free Productions', 'Prospect Park', 'Millbrook Farm Productions']",,,85000000.0,167800000.0
Harry Potter,"['David Heyman', 'David Barron', 'J. K. Rowling']",Eduardo Serra,,146,2010-11-11,David Yates,Warner Bros. Pictures,English,Steve Kloves,"['Daniel Radcliffe', 'Rupert Grint', 'Emma Watson', 'Helena Bonham Carter', 'Robbie Coltrane', 'Warwick Davis', 'Ralph Fiennes', 'Michael Gambon', 'Brendan Gleeson', 'Richard Griffiths', 'John Hurt', 'Jason Isaacs', 'Alan Rickman', 'Fiona Shaw', 'Timothy Spall', 'Imelda Staunton', 'David Thewlis', 'Julie Walters']",Mark Day,Alexandre Desplat,"['Warner Bros. Pictures', 'Heyday Films']","['Harry Potter and the Deathly Hallows', 'J. K. Rowling']",,,977100000.0
The Next Three Days,"['Michael Nozik', 'Olivier Delbosc', 'Paul Haggis', 'Marc Missonnier']",Stéphane Fontaine,United States,133,2010-11-09,Paul Haggis,Lionsgate,English,Paul Haggis,"['Russell Crowe', 'Elizabeth Banks', 'Brian Dennehy', 'Olivia Wilde', 'Liam Neeson']",Jo Francis,Danny Elfman,"['Lionsgate', 'Highway 61 Films', 'Fidélité Films']","['Anything for Her', 'Guillaume Lemans']",,30000000.0,67400000.0
Made in Dagenham,"['Elizabeth Karlsen', 'Stephen Woolley']",John de Borman,United Kingdom,113,2010-09-11,Nigel Cole,Paramount Pictures,English,William Ivory,"['Sally Hawkins', 'Bob Hoskins', 'Miranda Richardson', 'Geraldine James', 'Rosamund Pike', 'Andrea Riseborough', 'Jaime Winstone', 'Daniel Mays', 'Richard Schiff']",Michael Parker,David Arnold,"['Audley Films', 'BBC Films', 'BMS Finance', 'HanWay Films', 'Lipsync Productions', 'Mittal Productions', 'Number 9 Films', 'UK Film Council']","['Equal pay for women', 'Ford sewing machinists strike of 1968']",,,12300000.0
Burlesque,Donald De Line,Bojan Bazelli,United States,119,2010-11-24,Steven Antin,Sony Pictures Releasing,English,Steven Antin,"['Cher', 'Christina Aguilera', 'Eric Dane', 'Cam Gigandet', 'Julianne Hough', 'Alan Cumming', 'Peter Gallagher', 'Kristen Bell', 'Stanley Tucci']",Virginia Katz,Christophe Beck,"['Screen Gems', 'De Line Pictures']",,,55000000.0,90500000.0
Faster,"['Martin Shafer', 'Liz Glotzer', 'Tony Gayton', 'Robert Teitel']",Michael Grady,United States,98,2010-11-24,George Tillman Jr.,Sony Pictures Releasing,English,"['Tony Gayton', 'Joe Gayton']","['Dwayne Johnson', 'Billy Bob Thornton', 'Oliver Jackson-Cohen', 'Carla Gugino', 'Maggie Grace', 'Moon Bloodgood', 'Adewale Akinnuoye-Agbaje', 'Tom Berenger']",Dirk Westervelt,Clint Mansell,"['Castle Rock Entertainment', 'State Street Pictures', 'CBS Films', 'TriStar Pictures']",,,24000000.0,35600000.0
Love & Other Drugs,"['Scott Stuber', 'Edward Zwick', 'Marshall Herskovitz', 'Charles Randolph', 'Pieter Jan Brugge']",Steven Fierberg,United States,112,2010-11-04,Edward Zwick,20th Century Fox,English,"['Charles Randolph', 'Edward Zwick', 'Marshall Herskovitz']","['Jake Gyllenhaal', 'Anne Hathaway', 'Oliver Platt', 'Hank Azaria', 'Josh Gad', 'Gabriel Macht']",Steven Rosenblum,James Newton Howard,"['Fox 2000 Pictures', 'Regency Enterprises', 'New Regency', 'Stuber Pictures', 'Bedford Falls Productions', 'Dune Entertainment']",Jamie Reidy,,30000000.0,105000000.0
Tangled,Roy Conli,,United States,100,2010-11-14,"['Nathan Greno', 'Byron Howard']",Walt Disney Studios Motion Pictures,English,Dan Fogelman,"['Mandy Moore', 'Zachary Levi', 'Donna Murphy']",Tim Mertens,Alan Menken,"['Walt Disney Pictures', 'Walt Disney Animation Studios']","['Rapunzel', 'Brothers Grimm']",,260000000.0,592500000.0
The Nutcracker in 3D,"['Andrei Konchalovsky', 'Paul Lowin']",Mike Southon,,110,2010-11-24,Andrei Konchalovsky,"['G2 Pictures', 'Central Partnership', 'Vertigo Média']",English,"['Andrei Konchalovsky', 'Chris Solimine']","['Elle Fanning', 'Nathan Lane', 'John Turturro', 'Charlie Rowe', 'Shirley Henderson', 'Frances de la Tour', 'Richard E. Grant', 'Yulia Vysotskaya', 'Aaron Michael Drozin']","['Mathieu Bélanger', 'Andrew Glen']","['Pyotr Ilyich Tchaikovsky', 'Eduard Artemyev', 'Tim Rice (lyrics)']","['Vnesheconombank', 'Noisette Film Productions', 'HCC Media Group', 'Russian Roulette Ltd.']","['The Nutcracker', 'Pyotr Ilyich Tchaikovsky', 'The Nutcracker and the Mouse King', 'E. T. A. Hoffmann']",,90000000.0,20500000.0
The King's Speech,"['Iain Canning', 'Emile Sherman', 'Gareth Unwin']",Danny Cohen,,119,2010-09-06,Tom Hooper,"['Momentum Pictures (United Kingdom)', 'Paramount Pictures Transmission Films (Australia)']",English,David Seidler,"['Colin Firth', 'Geoffrey Rush', 'Helena Bonham Carter', 'Guy Pearce', 'Timothy Spall', 'Derek Jacobi', 'Jennifer Ehle', 'Michael Gambon', 'Claire Bloom']",Tariq Anwar,Alexandre Desplat,"['UK Film Council', 'Momentum Pictures', 'Aegis Film Fund', 'Molinare, London', 'FilmNation Entertainment', 'See-Saw Films', 'Bedlam Productions']",,,15000000.0,427400000.0
Black Swan,"['Mike Medavoy', 'Arnold W. Messer', 'Brian Oliver', 'Scott Franklin']",Matthew Libatique,United States,108,2010-09-01,Darren Aronofsky,Fox Searchlight Pictures,English,"['Mark Heyman', 'Andres Heinz', 'John McLaughlin']","['Natalie Portman', 'Vincent Cassel', 'Mila Kunis', 'Barbara Hershey', 'Winona Ryder']",Andrew Weisblum,Clint Mansell,"['Cross Creek Pictures', 'Protozoa Pictures', 'Phoenix Pictures', 'Dune Entertainment']",,Andres Heinz,13000000.0,330000000.0
I Love You Phillip Morris,"['Andrew Lazar', 'Far Shariat']",Xavier Pérez Grobet,['France'],93,2009-01-18,"['John Requa', 'Glenn Ficarra']",['EuropaCorp'],English,"['John Requa', 'Glenn Ficarra']","['Jim Carrey', 'Ewan McGregor', 'Rodrigo Santoro', 'Antoni Corone', 'Leslie Mann']",Thomas J. Nordberg,Nick Urata,"['EuropaCorp', 'Mad Chance Productions']","I Love You Phillip Morris: A True Story of Life, Love, and Prison Breaks by Steve McVicker",,13000000.0,20700000.0
The Warrior's Way,"['Barrie M. Osborne', 'Michael Peyser']",Woo-Hyung Kim,,100,2010-12-03,Sngmoo Lee,Rogue,English,Sngmoo Lee,"['Geoffrey Rush', 'Kate Bosworth', 'Danny Huston', 'Jang Dong-gun', 'Tony Cox', 'Ti Lung']",Jonathan Woodford-Robinson,Javier Navarrete,Relativity Media,,,42000000.0,11087569.0
Night Catches Us,"['Sean Costello', 'Jason Orans', 'Ron Simons']",David Tumblety,United States,90,2010-01-23,Tanya Hamilton,Magnolia Pictures,English,Tanya Hamilton,"['Kerry Washington', 'Anthony Mackie', 'Jamie Hector', 'Wendell Pierce', 'Amari Cheatom', 'Tariq Trotter', 'Novella Nelson', 'Thomas Roy', 'Ron Simons']","['John Chimples', 'Affonso Gonçalves']",The Roots,,,,,
The Chronicles of Narnia: The Voyage of the Dawn Treader,"['Mark Johnson', 'Andrew Adamson', 'Philip Steuer']",Dante Spinotti,,113,2010-11-30,Michael Apted,20th Century Fox,English,"['Christopher Markus Stephen McFeely', 'Michael Petroni']","['Georgie Henley', 'Skandar Keynes', 'Ben Barnes', 'Will Poulter', 'Tilda Swinton']",Rick Shaine,David Arnold,"['Fox 2000 Pictures', 'Dune Entertainment', 'Walden Media', 'Mark Johnson Productions']","['The Voyage of the Dawn Treader', 'C. S. Lewis']",,140.0,415600000.0
The Tourist,"['Graham King', 'Timothy Headington', 'Roger Birnbaum', 'Gary Barber', 'Jonathan Glickman']",John Seale,United States,103,2010-12-10,Florian Henckel von Donnersmarck,Sony Pictures Releasing,English,"['Florian Henckel von Donnersmarck', 'Christopher McQuarrie', 'Julian Fellowes']","['Johnny Depp', 'Angelina Jolie', 'Paul Bettany', 'Timothy Dalton', 'Steven Berkoff', 'Rufus Sewell', 'Christian De Sica']","['Joe Hutshing', 'Patricia Rommel']",James Newton Howard,"['Columbia Pictures', 'GK Films', 'Spyglass Entertainment', 'StudioCanal']","['Anthony Zimmer', 'Jérôme Salle']",,100000000.0,278300000.0
Frankie & Alice,Halle Berry,Newton Thomas Sigel,Canada,101,2010-05-17,Geoffrey Sax,"['CodeBlack Films', 'Lions Gate Entertainment']",English,Cheryl Edwards Marko King Mary King Jonathan Watters Joe Shrapnel Anna Waterhouse,Stellan Skarsgård,David M. Richardson,Andrew Lockington,Access Motion Pictures,,"['Oscar Janiger', 'Philip Goldberg']",,706546.0
